
# ====== Port number : 3000 ======

########################################
# SR SequentialExecute for /192.168.0.2:3000
#  Repeat Count = 100
# Client Configuration @2011-09-08 04:10:49
#  Task time = 100
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
23	54.805600000000005	2.0189002506860465	1315434542240	1315434552674
24	54.72290000000004	1.797303420642876	1315434552674	1315434563116

########################################
# SR ParallelExecute for /192.168.0.2:3000
#  Repeat Count = 100
# Client Configuration @2011-09-08 06:29:23
#  Task time = 100
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
1	101.20129999999999	0.3566812656319582	1315434563421	1315434573555
2	51.327000000000005	1.088515345121592	1315434573555	1315434578708
3	34.60910000000002	0.8752536082681721	1315434578708	1315434582224
4	26.2524	1.1802072408323037	1315434582224	1315434584873
5	21.3254	1.0502702105417645	1315434584873	1315434587034
6	18.020299999999995	0.9893406180815	1315434587034	1315434588886
7	15.714699999999995	1.3823734932165068	1315434588886	1315434590507
8	13.991400000000006	1.0620049839141414	1315434590507	1315434591960
9	12.516699999999993	1.1397005233079422	1315434591960	1315434593267
10	11.454099999999997	1.1157550281438668	1315434593267	1315434594466
11	10.596599999999997	0.8049107109023393	1315434594466	1315434595580
12	9.445600000000002	0.7459633050794772	1315434595580	1315434596590
13	9.254500000000004	1.006832592185406	1315434596590	1315434597574
14	8.740699999999999	1.1009493194695426	1315434597574	1315434598497
15	8.263000000000003	1.111126010001073	1315434598497	1315434599387
16	7.761599999999999	0.4766925612801376	1315434599387	1315434600221
17	7.5701999999999945	1.151561943227971	1315434600221	1315434601046
18	7.2193999999999985	1.08901013342719	1315434601046	1315434601823
19	6.938699999999998	1.2195442558264198	1315434601823	1315434602572
20	6.618599999999998	0.3932537669909178	1315434602572	1315434603312
21	6.4233	0.4319209032527567	1315434603312	1315434604025
22	6.310699999999998	1.1784360934147686	1315434604025	1315434604710
23	6.102400000000001	0.8752524830532691	1315434604710	1315434605377
24	5.904600000000001	1.0219523996110105	1315434605377	1315434606025


# ====== Port number : 3100 ======

########################################
# SR SequentialExecute for /192.168.0.2:3100
#  Repeat Count = 100
# Client Configuration @2011-09-08 06:30:11
#  Task time = 100
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
1	102.13710000000003	0.4798869711145848	1315434612087	1315434622405
2	76.2084	0.40455916898817984	1315434622406	1315434632541
3	67.81700000000004	0.40983243679809245	1315434632541	1315434642684
4	63.699700000000014	0.4093341600020715	1315434642684	1315434652839
5	61.246799999999986	0.47772795606096957	1315434652839	1315434663008
6	59.62630000000004	0.5110943991542582	1315434663008	1315434673195
7	58.578299999999956	0.7128801378291227	1315434673195	1315434683399
8	57.855300000000014	1.057065171962122	1315434683399	1315434693637
9	56.97950000000001	0.4869413400873279	1315434693637	1315434703869
10	56.481700000000004	0.6012093116085477	1315434703869	1315434714089
11	56.191399999999994	0.6485103676653154	1315434714089	1315434724342
12	55.78949999999997	0.6208878865632319	1315434724342	1315434734595
13	55.6062	0.6952069381617416	1315434734595	1315434744878
14	55.41969999999999	0.7398190537724155	1315434744879	1315434755178
15	55.28139999999998	1.3860699619418295	1315434755179	1315434765501
16	55.022200000000005	0.7254891488167078	1315434765502	1315434775831
17	54.91109999999999	0.889370331111174	1315434775831	1315434786153
18	54.8028	0.737029363613714	1315434786153	1315434796488
19	54.76630000000001	0.8956276000540154	1315434796488	1315434806852
20	54.66969999999999	0.7623534202549248	1315434806852	1315434817208
21	54.5832	0.6616903361934406	1315434817208	1315434827578
22	54.59980000000003	0.6952566272781916	1315434827578	1315434837980
23	54.3931	0.6311536575157995	1315434837980	1315434848376
